b0,b1,b2,b3,z.sd,phi.ROS,z
2.96821,-0.828022,0.793328,0.105602,0.978915,20.7751,0.403099862
2.92923,-0.842661,0.695736,0.0451246,0.907186,10.7807,0.297030182
2.82856,-0.793223,0.465697,0.135586,0.894123,11.1835,-1.038842135
2.7872,-0.699135,0.42662,0.0550839,1.04532,8.2781,-0.320277231
2.88993,-0.617759,0.552213,0.0135068,0.866643,6.63274,-0.712200049
2.7461,-0.556881,0.688016,0.00887712,1.01021,8.60131,0.150628166
2.79982,-0.412802,0.649998,-0.000723189,0.969253,10.5813,0.219962413
2.78207,-0.482739,0.705281,-0.0566387,0.863454,8.77921,-1.841000052
2.7885,-0.423185,0.837958,-0.0443928,0.956435,7.18377,-2.028642082
2.89725,-0.461091,0.577842,-0.114699,1.07839,6.00308,0.147853822
2.80896,-0.52671,0.673452,-0.111781,1.02478,8.91906,-0.261379392
2.76121,-0.364829,0.464327,0.0793394,1.01348,6.01505,0.441752525
2.80752,-0.370254,0.618281,0.0304614,0.980465,9.45161,1.306194099
2.88763,-0.493743,0.597408,0.089072,1.00609,9.08694,0.845780522
2.78219,-0.562071,0.574112,0.0776736,0.805539,7.57425,0.066431738
2.79421,-0.769236,0.64105,0.248357,0.71944,5.97357,0.384100542
2.78501,-0.747625,0.696811,0.0405126,0.901104,9.01117,0.054560766
2.80902,-0.67427,0.725161,0.0732477,0.927735,7.35007,0.187336375
2.8896,-0.576111,0.784347,0.213707,0.896575,7.3962,0.496899486
3.06484,-0.440046,0.76806,0.22881,0.972442,8.25543,0.940051227
3.01736,-0.50241,0.699507,0.149945,0.997552,8.18251,-0.837299745
2.95032,-0.56923,0.480424,0.193608,1.01056,8.35098,-1.378850687
2.91953,-0.615956,0.632116,0.09783,0.88232,6.61045,1.632964609
2.82505,-0.667938,0.633871,0.0387385,0.840035,7.86171,-0.635282539
2.7554,-0.607045,0.649973,-0.0257797,0.985474,6.61542,1.858356546
2.85478,-0.656548,0.733285,0.0710743,0.891887,8.65315,0.702830445
2.8378,-0.597132,0.722219,0.112911,0.930132,8.76919,-0.487396928
